latitude,longitude,vehicle_type,timestamp,object_id
13.82872127054856,121.3541153283076,person,2025-06-17 02:35:47.260000+00:00,842
13.828693691946684,121.35396200134517,person,2025-06-17 02:35:48.260000+00:00,850
13.828693691946684,121.35396200134517,person,2025-06-17 02:35:49.060000+00:00,861
13.828670824940277,121.35380811414056,person,2025-06-17 02:35:49.260000+00:00,866
13.828670824940277,121.35380811414056,person,2025-06-17 02:35:49.460000+00:00,868
13.828625686065976,121.35350346293748,person,2025-06-17 02:35:51.760000+00:00,899
13.828603632889626,121.35335652890905,car,2025-06-17 02:35:53.060000+00:00,833
13.828580671385758,121.35320962681782,car,2025-06-17 02:35:53.660000+00:00,914
13.828558184841398,121.35306384924918,car,2025-06-17 02:35:54.260000+00:00,926
13.828432490632084,121.35115660357587,car,2025-06-17 02:36:08.860000+00:00,988
